sales_order_id,product_id,product_name,custumer_id,customer_marital_status,customer_gender,territory_id,territory_name,special_offer_id,special_offer_type,special_offer_category,sales_order_ak,order_date,due_date,ship_date,subtotal,order_qty,unit_price,unit_price_discount
2900422,721,"HL Road Frame - Red, 56",280,S,F,1,Northwest,1,No Discount,No Discount,11155d50-fc4e-4ef7-8fc5-453894e52219,2013-08-29 00:00:00,2013-09-10 00:00:00,2013-09-05 00:00:00,14.98,1,4.99,0.00
22355430,831,"ML Mountain Frame - Black, 44",280,S,F,1,Northwest,1,No Discount,No Discount,094a7f03-2d4e-4d02-9287-090f63b5bdc5,2013-08-22 00:00:00,2013-09-03 00:00:00,2013-08-29 00:00:00,615.47,1,539.99,0.00
18229291,807,HL Headset,286,S,F,9,Australia,1,No Discount,No Discount,f477b55f-ec8e-4bc3-b847-e121bcee2b66,2012-06-12 00:00:00,2012-06-24 00:00:00,2012-06-19 00:00:00,2443.35,1,2443.35,0.00
46555732,968,"Touring-1000 Blue, 54",276,M,F,4,Southwest,1,No Discount,No Discount,4b974418-cb6b-4887-8a40-e08cc5054d32,2014-05-01 00:00:00,2014-05-13 00:00:00,2014-05-08 00:00:00,67059.64,4,105.29,0.00
44169750,954,"Touring-1000 Yellow, 46",282,M,M,6,Canada,1,No Discount,No Discount,d2ed3e4e-a085-4009-bb19-967c55b56fe9,2013-05-30 00:00:00,2013-06-11 00:00:00,2013-06-06 00:00:00,35151.16,4,16.27,0.00
36696166,912,ML Road Seat/Saddle,276,M,F,4,Southwest,1,No Discount,No Discount,96a1138f-ff55-4b81-b794-74cb22a1d826,2014-01-29 00:00:00,2014-02-10 00:00:00,2014-02-05 00:00:00,58249.40,2,218.45,0.00
7925286,749,"Road-150 Red, 62",289,M,F,10,United Kingdom,1,No Discount,No Discount,f2e347b6-df6b-4658-b991-6df0321c79de,2013-12-31 00:00:00,2014-01-12 00:00:00,2014-01-07 00:00:00,26775.47,4,672.29,0.00
24309972,842,"Touring-Panniers, Large",281,M,M,4,Southwest,1,No Discount,No Discount,10545d1a-445f-4f4c-9299-0f8cda6f5dd6,2013-10-30 00:00:00,2013-11-11 00:00:00,2013-11-06 00:00:00,28413.43,4,32.39,0.00
9078834,756,"Road-450 Red, 44",282,M,M,6,Canada,1,No Discount,No Discount,15c0c235-bb8c-4127-8a4f-dfcf3a577b15,2013-12-07 00:00:00,2013-12-19 00:00:00,2013-12-14 00:00:00,2430.44,1,53.99,0.00
41152856,937,HL Mountain Pedal,282,M,M,6,Canada,1,No Discount,No Discount,47df61ef-01ea-4037-88ac-887befc303e2,2012-11-30 00:00:00,2012-12-12 00:00:00,2012-12-07 00:00:00,53989.98,2,198.04,0.00
1509875,713,"Long-Sleeve Logo Jersey, S",281,M,M,4,Southwest,1,No Discount,No Discount,8196e477-c247-4898-b848-7e4a069b2798,2014-04-13 00:00:00,2014-04-25 00:00:00,2014-04-20 00:00:00,110.95,1,4.99,0.00
42821594,947,HL Touring Handlebars,275,S,M,2,Northeast,1,No Discount,No Discount,8b3f1896-a393-4a9f-b923-ebc471dd5ad6,2012-06-30 00:00:00,2012-07-12 00:00:00,2012-07-07 00:00:00,59518.76,6,1242.85,0.00
36636563,911,LL Road Seat/Saddle,284,M,M,1,Northwest,1,No Discount,No Discount,c9bd051e-8672-4692-a33d-b639edf1dd82,2012-09-30 00:00:00,2012-10-12 00:00:00,2012-10-07 00:00:00,87654.24,3,14.13,0.00
29819839,873,Patch Kit/8 Patches,280,S,F,1,Northwest,1,No Discount,No Discount,34de2cca-72a9-4ad5-a9b0-9422dafb6692,2014-03-15 00:00:00,2014-03-27 00:00:00,2014-03-22 00:00:00,90.47,1,21.98,0.00
5949984,738,"LL Road Frame - Black, 52",283,S,M,1,Northwest,1,No Discount,No Discount,e94b89e3-3c48-4889-b657-856bf7e28633,2012-02-29 00:00:00,2012-03-12 00:00:00,2012-03-07 00:00:00,40814.83,3,28.84,0.00
42817394,946,LL Touring Handlebars,290,S,M,7,France,1,No Discount,No Discount,d51c3864-ac51-422a-8e07-166222e15efa,2013-08-12 00:00:00,2013-08-24 00:00:00,2013-08-19 00:00:00,2334.97,1,9.99,0.00
40957431,936,ML Mountain Pedal,281,M,M,4,Southwest,1,No Discount,No Discount,5bb43f6e-1f10-4f5b-acbd-0f9df624b4a9,2014-05-11 00:00:00,2014-05-23 00:00:00,2014-05-18 00:00:00,1749.96,1,34.99,0.00
20404859,820,HL Road Front Wheel,278,M,M,6,Canada,1,No Discount,No Discount,56fcf222-4cba-4ed8-8152-dd4c536a5af8,2013-08-30 00:00:00,2013-09-11 00:00:00,2013-09-06 00:00:00,68404.63,1,32.39,0.00
8501743,753,"Road-150 Red, 56",278,M,M,6,Canada,1,No Discount,No Discount,c2e9ab58-0e79-4a98-8dcc-15dea543a985,2012-07-31 00:00:00,2012-08-12 00:00:00,2012-08-07 00:00:00,7951.16,1,324.45,0.00
48052848,976,"Road-350-W Yellow, 48",281,M,M,4,Southwest,1,No Discount,No Discount,7176af66-dc36-4a9c-acef-2a5bd298b2f3,2014-01-12 00:00:00,2014-01-24 00:00:00,2014-01-19 00:00:00,589.96,1,3.99,0.00
3948365,727,"LL Road Frame - Red, 52",279,M,M,5,Southeast,1,No Discount,No Discount,0dc82e98-a057-409a-a881-e4d4ce021305,2013-01-28 00:00:00,2013-02-09 00:00:00,2013-02-04 00:00:00,1317.69,1,74.84,0.00
37909742,919,"LL Mountain Frame - Silver, 48",275,S,M,2,Northeast,1,No Discount,No Discount,c0152214-87e5-448d-8075-d715d30ba0d8,2013-06-30 00:00:00,2013-07-12 00:00:00,2013-07-07 00:00:00,46582.48,3,858.90,0.00
23991383,840,"HL Road Frame - Black, 52",282,M,M,6,Canada,1,No Discount,No Discount,f231efda-ae07-4c60-b578-a4b9f34f12f3,2014-05-20 00:00:00,2014-06-01 00:00:00,2014-05-27 00:00:00,45.24,1,7.95,0.00
9333182,757,"Road-450 Red, 48",290,S,M,7,France,1,No Discount,No Discount,97e98301-85c9-4707-8df8-b2e44861863d,2013-06-30 00:00:00,2013-07-12 00:00:00,2013-07-07 00:00:00,1249.84,1,34.99,0.00
44037031,953,"Touring-2000 Blue, 60",286,S,F,9,Australia,1,No Discount,No Discount,f26c93cc-0e42-483e-8a9e-3e21fa467045,2014-03-07 00:00:00,2014-03-19 00:00:00,2014-03-14 00:00:00,1243.45,1,4.99,0.00
50525741,990,"Mountain-500 Black, 42",281,M,M,4,Southwest,1,No Discount,No Discount,9c414ae3-62a5-4112-bad0-9f805350d9e2,2012-08-09 00:00:00,2012-08-21 00:00:00,2012-08-16 00:00:00,782.99,1,782.99,0.00
30001185,874,"Racing Socks, M",280,S,F,1,Northwest,1,No Discount,No Discount,4a41bc7e-da25-4a14-bf8c-a22461a184c3,2013-11-24 00:00:00,2013-12-06 00:00:00,2013-12-01 00:00:00,2297.28,1,2294.99,0.00
11123354,768,"Road-650 Black, 44",275,S,M,2,Northeast,1,No Discount,No Discount,5fd5e3a0-f1fb-4920-80ee-bd19c2c4a66d,2012-11-30 00:00:00,2012-12-12 00:00:00,2012-12-07 00:00:00,42079.49,4,600.26,0.00
47186242,971,"Touring-2000 Blue, 50",282,M,M,6,Canada,1,No Discount,No Discount,fe1f8c43-544a-4367-8d41-70f262f07961,2013-02-28 00:00:00,2013-03-12 00:00:00,2013-03-07 00:00:00,78405.75,10,22.79,0.00
16383207,797,"Road-550-W Yellow, 38",281,M,M,4,Southwest,1,No Discount,No Discount,6f7d6d42-95d7-4708-b32f-acc8f2ad3e08,2014-03-31 00:00:00,2014-04-12 00:00:00,2014-04-07 00:00:00,2423.48,1,4.99,0.00
9047569,756,"Road-450 Red, 44",280,S,F,1,Northwest,1,No Discount,No Discount,827af7d5-f712-436a-961e-3092105f38ed,2014-01-23 00:00:00,2014-02-04 00:00:00,2014-01-30 00:00:00,574.98,1,564.99,0.00
16808815,799,"Road-550-W Yellow, 42",286,S,F,9,Australia,1,No Discount,No Discount,9ee2fd98-7d1d-450f-a812-2ed79b0c9090,2014-01-10 00:00:00,2014-01-22 00:00:00,2014-01-17 00:00:00,39.98,1,34.99,0.00
9345381,758,"Road-450 Red, 52",276,M,F,4,Southwest,1,No Discount,No Discount,2a80dc13-adf4-4ccf-9cc4-6ba8d2abe30b,2012-10-30 00:00:00,2012-11-11 00:00:00,2012-11-06 00:00:00,30032.45,9,35.99,0.00
11320206,769,"Road-650 Black, 48",276,M,F,4,Southwest,1,No Discount,No Discount,9c85b562-1e0b-4777-b155-b20521a67773,2012-10-30 00:00:00,2012-11-11 00:00:00,2012-11-06 00:00:00,36234.34,2,36.45,0.00
20490026,820,HL Road Front Wheel,284,M,M,1,Northwest,1,No Discount,No Discount,0ed9c827-1a16-4ca0-ba1f-7a56b470c7fe,2012-09-30 00:00:00,2012-10-12 00:00:00,2012-10-07 00:00:00,86679.61,2,469.79,0.00
25004273,846,Taillights - Battery-Powered,280,S,F,1,Northwest,1,No Discount,No Discount,0f8089de-0bce-4fd8-b57e-62081c744c30,2013-12-31 00:00:00,2014-01-12 00:00:00,2014-01-07 00:00:00,21306.44,1,218.45,0.00
43097606,948,Front Brakes,282,M,M,6,Canada,1,No Discount,No Discount,b52bd593-2959-453b-ba59-305e38ea9c50,2013-06-30 00:00:00,2013-07-12 00:00:00,2013-07-07 00:00:00,44160.60,3,1391.99,0.00
38446113,922,Road Tire Tube,276,M,F,4,Southwest,1,No Discount,No Discount,7e0c3e98-dce5-4d2e-9ac4-5ed96d0cbb8d,2013-08-19 00:00:00,2013-08-31 00:00:00,2013-08-26 00:00:00,1760.47,1,34.99,0.00
47582897,973,"Road-350-W Yellow, 40",286,S,F,9,Australia,1,No Discount,No Discount,707f2658-150c-4c97-bca2-28ece122796f,2013-10-19 00:00:00,2013-10-31 00:00:00,2013-10-26 00:00:00,2428.97,1,53.99,0.00
33016504,891,"HL Touring Frame - Blue, 50",278,M,M,6,Canada,1,No Discount,No Discount,9e2833a5-e69c-4e03-8308-c3339803c611,2013-12-29 00:00:00,2014-01-10 00:00:00,2014-01-05 00:00:00,4.99,1,4.99,0.00
35008603,902,"LL Touring Frame - Yellow, 58",282,M,M,6,Canada,1,No Discount,No Discount,3bf78698-2a01-4423-be1d-344e14352e6d,2013-08-08 00:00:00,2013-08-20 00:00:00,2013-08-15 00:00:00,71.58,1,3.99,0.00
52147351,999,"Road-750 Black, 52",283,S,M,1,Northwest,2,Volume Discount,Reseller,c4fa578f-156f-47a2-a99c-826bea7af13f,2014-04-22 00:00:00,2014-05-04 00:00:00,2014-04-29 00:00:00,2393.06,1,8.99,0.00
45132765,960,"Touring-3000 Blue, 62",276,M,F,4,Southwest,1,No Discount,No Discount,172d68e6-a2fd-40b7-b5e0-12c5a1f75758,2014-05-25 00:00:00,2014-06-06 00:00:00,2014-06-01 00:00:00,742.35,1,742.35,0.00
20555672,821,Touring Front Wheel,276,M,F,4,Southwest,1,No Discount,No Discount,5b5d339d-0600-451c-bfd5-84789c03bd0c,2013-10-07 00:00:00,2013-10-19 00:00:00,2013-10-14 00:00:00,73.96,1,49.99,0.00
20404035,820,HL Road Front Wheel,278,M,M,6,Canada,1,No Discount,No Discount,49f10ceb-8b3c-4460-9d69-b54d832fbc74,2014-05-01 00:00:00,2014-05-13 00:00:00,2014-05-08 00:00:00,22057.99,1,323.99,0.00
41975390,942,"ML Mountain Frame-W - Silver, 38",278,M,M,6,Canada,1,No Discount,No Discount,8fa39b87-5cdf-4ef2-9fcd-3db80b258925,2013-10-26 00:00:00,2013-11-07 00:00:00,2013-11-02 00:00:00,1129.48,1,8.99,0.00
19525435,815,LL Mountain Front Wheel,278,M,M,6,Canada,1,No Discount,No Discount,42ad354c-9ff1-4f21-aaca-fe60c54b23d2,2011-10-31 00:00:00,2011-11-12 00:00:00,2011-11-07 00:00:00,20847.93,4,20.19,0.00
