product_name,customer_marital_status,customer_gender,territory_name,special_offer_type,special_offer_category,order_date,status,delivery_days,subtotal,order_qty,unit_price,unit_price_discount
"HL Mountain Frame - Black, 38",S,F,Central,No Discount,No Discount,2013-12-31,entregue no prazo,7,293.18,4,48.59,0.0
"Men's Bib-Shorts, S",S,F,Central,No Discount,No Discount,2014-04-30,entregue no prazo,7,84.96,1,34.99,0.0
"Touring-1000 Blue, 46",S,F,Central,No Discount,No Discount,2013-10-25,entregue no prazo,7,81.46,1,21.98,0.0
HL Touring Handlebars,S,F,Central,No Discount,No Discount,2013-11-30,entregue no prazo,7,41.99,1,41.99,0.0
"LL Road Frame - Black, 60",S,F,Central,No Discount,No Discount,2013-10-30,entregue no prazo,7,37.25,1,37.25,0.0
ML Mountain Front Wheel,S,F,Central,No Discount,No Discount,2013-03-30,entregue no prazo,7,45.0,3,15.0,0.0
HL Crankset,S,F,Central,No Discount,No Discount,2013-06-30,entregue no prazo,7,173.39,4,38.1,0.0
"Classic Vest, S",S,F,Central,No Discount,No Discount,2013-09-30,entregue no prazo,7,417.77,2,2.99,0.0
"HL Road Frame - Red, 52",S,F,Central,No Discount,No Discount,2012-12-31,entregue no prazo,7,141.62,1,141.62,0.0
"Touring-3000 Blue, 62",S,F,Central,No Discount,No Discount,2013-12-31,entregue no prazo,7,162.85,6,5.39,0.0
"Mountain-500 Black, 40",S,F,Central,No Discount,No Discount,2013-09-30,entregue no prazo,7,417.77,3,38.1,0.0
"Mountain-500 Black, 40",S,F,Central,No Discount,No Discount,2014-04-30,entregue no prazo,7,84.96,1,24.49,0.0
"HL Touring Frame - Blue, 50",S,F,Central,No Discount,No Discount,2014-04-14,entregue no prazo,7,34.98,1,29.99,0.0
"LL Touring Frame - Blue, 58",S,F,Central,No Discount,No Discount,2013-01-28,entregue no prazo,7,469.79,1,469.79,0.0
Touring Rear Wheel,S,M,Northeast,No Discount,No Discount,2011-08-31,entregue no prazo,7,5.7,1,5.7,0.0
"ML Road Frame-W - Yellow, 44",S,M,Northeast,No Discount,No Discount,2014-01-29,entregue no prazo,7,225.87,1,38.1,0.0
"Road-150 Red, 56",S,M,Northeast,No Discount,No Discount,2013-12-31,entregue no prazo,7,78.59,1,29.99,0.0
"Touring-3000 Yellow, 44",M,M,Northwest,No Discount,No Discount,2014-05-07,entregue no prazo,7,39.98,1,34.99,0.0
